,"Actual",,"Model"
"Time","Value","Time","Value"
1523.76,94.75831,1523.76,0.0
1523.77,95.96227,1523.77,0.0
1523.7799,96.83578,1523.7799,0.0
1523.7899,97.77698,1523.7899,0.0
1523.7999,98.7043,1523.7999,0.0
1523.8099,100.19453,1523.8099,0.0
1523.82,99.8893,1523.82,0.0
1523.83,99.95181,1523.83,0.0
1523.84,101.05911,1523.84,0.0
1523.85,101.95241,1523.85,0.0
1523.86,101.76945,1523.86,0.0
1523.87,102.927025,1523.87,0.0
1523.88,103.249985,1523.88,0.0
1523.89,103.74389,1523.89,0.0
1523.9,104.20278,1523.9,0.0
1523.9099,105.22889,1523.9099,0.0
1523.9199,105.57877,1523.9199,0.0
1523.9299,106.62723,1523.9299,0.0
1523.94,106.412476,1523.94,0.0
1523.95,107.01651,1523.95,0.0
1523.96,107.45285,1523.96,0.0
1523.97,107.36348,1523.97,0.0
1523.98,107.38179,1523.98,0.0
1523.99,106.81798,1523.99,0.0
1524.0,106.93346,1524.0,0.0
1524.01,106.909805,1524.01,0.0
1524.02,106.3546,1524.02,0.0
1524.0299,107.028366,1524.0299,0.0
1524.0399,106.890366,1524.0399,0.0
1524.0499,106.918625,1524.0499,0.0
1524.0599,106.91284,1524.0599,0.0
1524.07,106.91402,1524.07,0.0
1524.08,107.47385,1524.08,0.0
1524.09,107.35918,1524.09,0.0
1524.1,107.38266,1524.1,0.0
1524.11,108.497955,1524.11,0.0
1524.12,108.82956,1524.12,0.0
1524.13,108.76164,1524.13,0.0
1524.14,109.33562,1524.14,0.0
1524.15,108.65799,1524.15,0.0
1524.1599,108.23674,1524.1599,0.0
1524.1699,108.88307,1524.1699,0.0
1524.1799,107.630585,1524.1799,0.0
1524.19,108.447174,1524.19,0.0
1524.2,107.719864,1524.2,0.0
1524.21,107.868835,1524.21,0.0
1524.22,108.39838,1524.22,0.0
1524.23,108.28992,1524.23,0.0
1524.24,107.752075,1524.24,0.0
1524.25,107.86223,1524.25,0.0
1524.26,107.839676,1524.26,0.0
1524.27,107.8443,1524.27,0.0
1524.2799,108.963455,1524.2799,0.0
1524.2899,108.73422,1524.2899,0.0
1524.2999,109.34123,1524.2999,0.0
1524.3099,109.2169,1524.3099,0.0
1524.32,109.24237,1524.32,0.0
1524.33,109.23715,1524.33,0.0
1524.34,109.23822,1524.34,0.0
1524.35,108.67795,1524.35,0.0
1524.36,108.792694,1524.36,0.0
1524.37,108.20915,1524.37,0.0
1524.38,108.328674,1524.38,0.0
1524.39,107.74414,1524.39,0.0
1524.4,108.42392,1524.4,0.0
1524.4099,107.724625,1524.4099,0.0
1524.4199,108.42792,1524.4199,0.0
1524.4299,108.283875,1524.4299,0.0
1524.44,108.31337,1524.44,0.0
